x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.1047752,53.5168795,-3642769525990713626,,3915,613191,82,0,1,0,0
-2.1048264,53.5375527,-5087683824732985626,,1013,41116,136,1,0,0,0
-2.2655402,53.4204534,6504529144908220134,,1070089,2147483647,22,3,2,2,2
-2.2655963,53.4294419,8685600517058320102,,130705,683360284,38,0,1,1,1
-2.2656636,53.4402279,-6954263172235078938,,15443,9539528,58,0,0,0,1
-2.1062901,53.5195747,1786555382390020838,,4028,649228,73,0,0,1,0
-2.2641192,53.4339394,-55301616101183770,,69471,193051438,54,2,0,0,1
-2.1032649,53.515982,-2337131723317921050,,3533,499429,24,0,1,0,0
-2.262481,53.4123705,-794175671944787226,,1349707,2147483647,17,4,2,1,2
-2.2625364,53.4213589,-5441153801290022170,,1178491,2147483647,93,14,14,10,9
-2.2625531,53.4240555,-5944133414741826842,,711486,2147483647,35,0,2,2,1
-2.2626418,53.4384369,-5608213471952672026,,40341,65098424,68,1,0,1,0
-2.262664,53.4420323,-6104919003042739482,,21602,18666047,74,0,0,0,1
-2.2609546,53.4087784,-6054602705832647962,,161826,1047506465,47,0,2,1,0
-2.2610152,53.4186657,5173944745410239206,,1684278,1802617471,41,8,6,6,9
-2.2610427,53.4231599,-97734301553612058,,964047,2147483647,25,3,0,2,5
-2.1032759,53.5204762,6872059267918000870,,3084,380550,103,0,1,0,0
-2.1002956,53.5357589,-1272954795261240602,,916,33629,295,1,0,0,0
-2.2595106,53.418669,1878073865649755878,,1550608,1686221542,87,13,12,14,14
-2.259516,53.4195678,-6359262275304227098,,1499034,2147483647,51,8,5,5,7
-2.2595928,53.4321516,-3186463172877651226,,222719,1984160337,34,1,1,0,1
-2.2595982,53.4330505,4728380058564737766,,188582,1422530401,114,0,6,2,1
-2.2596037,53.4339493,-4347429581144011034,,159796,1021399850,84,1,1,4,1
-2.2596311,53.4384435,2486736712152068838,,71302,203363809,53,0,0,0,1
-2.2598068,53.4672063,5538582275697341158,,1161,53919,93,0,0,1,0
-2.1017245,53.5025007,1325169354642157286,,2877,331154,42,0,0,1,0
-2.2580223,53.4213688,-4182704147092003098,,1278016,908581195,80,10,10,13,11
-2.2580277,53.4222676,-5187000936324133146,,1191844,985115335,38,3,3,3,4
-2.258104,53.4348514,4541397942516936422,,171572,1177491488,97,0,3,2,1
-2.0987176,53.5060986,7550174398615332582,,2315,214533,95,0,1,0,0
-2.2564472,53.4096871,-8491193124248104218,,69116,191083577,67,0,1,0,1
-2.256588,53.433057,3189310789920967398,,285724,2147483647,21,2,1,0,0
-2.2566368,53.4411466,-7727797502955529498,,75215,226297114,73,0,1,1,0
-2.2567127,53.4537303,-4155465383613604122,,11427,5223549,74,1,0,0,0
-2.0971934,53.4989091,3204020203007541990,,1513,91682,97,0,1,0,0
-2.2549375,53.4087914,4616863920785016550,,25463,25936195,115,2,0,1,0
-2.2551799,53.4492393,-860152054007299354,,27952,31254107,131,0,1,1,0
-2.2536635,53.4474449,-7152446989104168218,,46147,85184422,100,1,0,0,0
-2.0926573,53.4926208,-7298635185401103642,,575,13226,94,0,0,1,0
-2.2520141,53.4231793,8175066055979878118,,906846,2147483647,25,2,2,2,0
-2.2521259,53.442055,4164675140155535078,,125563,630643419,102,2,2,2,2
-2.250504,53.4222837,2470063413266779878,,768040,2120608806,35,2,2,0,0
-2.2506151,53.4411593,-7675963362233193754,,171073,1170641451,71,1,0,0,1
-2.2507211,53.4591361,-719289685966638362,,14923,8908906,69,0,0,1,0
-2.0926887,53.5070023,6558351874260407014,,1234,60942,100,0,0,0,1
-2.2489572,53.4150961,-5300423288364413210,,129090,666575607,119,1,2,1,0
-2.2490098,53.4240845,-8275522262796308762,,738379,333312744,40,7,3,2,2
-2.2490518,53.4312752,8508474655642063590,,608902,1945589550,125,7,8,8,4
-2.2491413,53.4465555,-499528539499273498,,98201,385744219,70,0,1,0,1
-2.2491992,53.4564428,-1262665151373865242,,26493,28076885,97,0,1,0,0
-2.2474736,53.4186946,-6605711644699559194,,285983,2147483647,35,0,1,0,0
-2.2474893,53.4213911,-6638174946424823066,,483180,748614380,18,1,0,0,0
-2.2475468,53.4312784,-6467714298833766682,,620997,2147483647,92,6,5,6,6
-2.2475625,53.4339749,4427247138321140454,,506075,1654558690,8,1,0,0,1
-2.2476933,53.4564459,-7653867988964343066,,32793,43017153,97,1,0,0,0
-2.245995,53.4231919,8072546588513412838,,503988,1570238033,108,5,8,11,4
-2.2460469,53.4321803,-4748077364415549722,,592862,1174519435,45,3,4,2,2
-2.2461665,53.4528537,5070807781310827238,,63123,159383014,99,1,0,0,0
-2.2461769,53.4546513,-3174668191766150426,,50353,101417683,43,0,0,1,0
-2.2444747,53.4204985,-3364574189870694682,,258221,2147483647,62,0,3,2,0
-2.2445521,53.4339811,1769455742939329254,,540293,2147483647,97,3,5,3,3
-2.2446141,53.4447672,-757688021104144666,,198659,1578626109,55,3,1,0,0
-2.2447849,53.4744289,6122213781337848550,,5591,1250695,111,0,0,0,1
-2.2449559,53.5040904,-6798064982966678810,,110,487,122,0,1,0,0
-2.2430829,53.4402761,-7297340031951181082,,351147,637204933,55,3,1,4,3
-2.2431343,53.4492645,17445471515811558,,136539,745723049,87,2,2,1,2
-2.2431805,53.457354,-9146397060401701146,,52606,110698556,90,0,0,0,1
-2.2414602,53.4196057,7480125240017999590,,122435,599617496,120,1,3,1,2
-2.2414959,53.4258976,2284183142951257830,,408846,2147483647,145,7,6,6,3
-2.2415061,53.4276953,5430031713043068646,,480567,647853461,67,4,8,1,1
-2.2415265,53.4312907,-8101132867654452506,,550677,2147483647,58,3,3,4,2
-2.2415673,53.4384814,8680781882765783782,,429272,2147483647,75,3,2,3,3
-2.2415826,53.441178,2134388145120086758,,349396,588158159,46,2,1,3,0
-2.2417563,53.4717385,-8856656228966394138,,11678,5455453,456,0,1,0,2
-2.2417717,53.474435,-5335441571831362842,,8515,2900377,361,1,2,0,0
-2.239991,53.4259007,-7923449936269307162,,345634,483560542,121,6,7,7,4
-2.2400113,53.4294961,8670404234424253158,,477141,516643919,74,4,0,3,3
-2.2400214,53.4312937,5567086842704958182,,512114,1900519614,51,2,3,2,4
-2.240062,53.4384845,-4556176508422569242,,443170,2147483647,87,4,5,5,5
-2.2401178,53.4483717,-410353829836573978,,195721,1532268979,91,3,2,3,6
-2.2401584,53.4555625,8135992453152823014,,90581,328197606,219,1,1,5,3
-2.2401635,53.4564613,8928120638947925734,,81918,268422413,84,1,0,0,1
-2.2402143,53.4654497,2588700125718717158,,29397,34569118,67,0,0,0,1
-2.2402244,53.4672474,3722726391797553894,,23903,22855320,209,1,0,1,0
-2.2385668,53.4402852,-8913844776342746394,,411425,2147483647,73,1,3,3,3
-2.2386777,53.4600597,1507626098616324838,,64333,165552087,35,1,0,0,1
-2.2387635,53.4753399,-2367741057041241370,,11407,5205279,475,0,0,1,0
-2.2369363,53.4178171,3059311806497755878,,29649,35163247,149,0,0,2,0
-2.2369863,53.4268055,8824827080546263782,,275129,2147483647,12,0,0,0,1
-2.2370564,53.4393893,-7613659717524540698,,437335,2147483647,98,3,9,2,6
-2.2370614,53.4402882,5088858815127454438,,420982,2147483647,84,4,3,2,6
-2.2370864,53.4447824,-5084443102995850522,,320991,2147483647,47,0,0,1,0
-2.2371566,53.4573662,5301323720246154982,,100119,400953279,150,1,0,1,1
-2.2356157,53.4510773,9004721890016331494,,208555,1739823232,125,4,3,3,1
-2.2357503,53.4753459,-4785219550146097434,,16565,10977134,640,1,1,2,1
-2.2357852,53.4816378,6679144152484280038,,8081,2612115,141,0,2,0,0
-2.110756,53.4970996,3633860209470732006,,5834,1361785,70,0,0,1,0
-2.1077777,53.5114838,-2525065528019693850,,5543,1229193,17,0,0,1,0
-2.1092486,53.497101,-8915330129210979610,,5037,1014925,88,1,0,0,0
-2.1092578,53.5006964,7698981260659557094,,5734,1315426,40,0,0,1,0
-2.1093251,53.5267626,746989938185686758,,3353,449840,139,0,0,1,0
-2.2672142,53.4474153,8694117606224232166,,3497,489260,207,0,0,0,1
-2.106209,53.4872165,5488143616888360678,,1924,148092,176,0,0,0,1
-2.2835186,53.4087269,3087112355122137830,,44266,78379165,85,0,0,0,3
-2.2807886,53.4509795,-7274250121121723674,,86,296,132,0,1,0,0
-2.2789999,53.4078387,125028254233245414,,5747791,2147483647,20,9,13,10,7
-2.2790235,53.4114341,1397196653590858470,,525237,2147483647,47,2,4,2,3
-2.2775074,53.4096399,4947301433501199078,,3696278,1038072068,82,18,26,30,32
-2.2760031,53.4096434,-8820616222601541914,,6727841,2147483647,58,23,28,31,27
-2.2760206,53.4123399,5726773707050736358,,1576088,578006501,73,9,12,13,8
-2.2744872,53.4078492,5587628396275936998,,15441327,2147483647,46,33,39,35,34
-2.274493,53.408748,-154122749003444506,,12471212,2133137021,56,38,43,39,40
-2.2730118,53.4123469,-3201484322756805914,,3784209,1578919910,77,24,26,22,30
-2.2715074,53.4123503,-2913805330674472218,,4529155,191269777,69,22,19,29,27
-2.2717368,53.4483039,-8606497867196690714,,1088,47404,70,0,1,0,0
-2.270003,53.4123537,8289595978423360230,,4664074,2147483647,49,21,20,18,14
-2.2700942,53.4267352,7912825851091262182,,83306,277596942,15,1,0,1,0
-2.2701627,53.4375213,-2508114947966684442,,8435,2846252,131,0,0,1,0
-2.2685836,53.4258398,2388967691014491878,,154526,955134539,77,2,0,1,2
-2.268595,53.4276374,-6879806262695526682,,98920,391413323,34,0,1,0,0
-2.2686006,53.4285363,-116449878521627930,,79788,254647727,53,0,1,0,0
-2.2669829,53.4105628,-1058014846724639002,,2781406,211340837,5,0,1,2,1
-2.2654506,53.4060719,191947070037925606,,102736,422192721,34,0,1,0,0
-2.265473,53.4096673,-5106175553058999578,,1279271,1036906505,39,1,3,5,3
-2.2655515,53.4222511,2569002052646554342,,705207,2147483647,70,7,6,4,8
-2.2639576,53.407873,-7392318821772542234,,254055,2147483647,53,0,1,1,1
-2.2639687,53.4096706,-1212521488197726490,,766380,2018729690,15,1,0,0,0
-2.2639798,53.4114683,3918830831337348838,,1554062,2115123700,32,4,5,4,6
-2.2642811,53.4600057,-2094136700376243482,,1201,57773,178,0,0,1,0
-2.2625475,53.4231566,4620571431220990694,,848405,2147483647,172,10,14,11,16
-2.2626251,53.4357404,-8075047445361915162,,66416,176444164,69,0,0,1,1
-2.2626529,53.4402346,8216016024094227174,,29355,34470491,85,0,1,0,0
-2.2610648,53.4267553,1881598345399029478,,502866,1525041228,82,5,3,5,5
-2.2610703,53.4276541,-137584153853775130,,422709,2147483647,38,2,0,3,2
-2.2596366,53.4393424,6928252925488064230,,61010,148890670,65,0,0,1,0
-2.259686,53.4474319,3679959816390162150,,16474,10855845,242,0,0,1,0
-2.2581422,53.4411433,-4556410478750301466,,58639,137541652,66,0,0,1,2
-2.2581858,53.448334,2182611429018783462,,18977,14406178,147,0,1,0,0
-2.2565988,53.4348547,392240170952047334,,212086,1799222875,80,4,1,2,2
-2.256691,53.4501349,2900630327606301414,,19016,14464928,140,0,0,0,1
-2.2550236,53.4231729,645854827671183078,,1060183,2009849928,53,3,3,6,4
-2.255029,53.4240718,3865591119366498022,,1008824,2054341306,65,11,8,4,7
-2.2551314,53.4411498,-6174781603470339354,,94830,359714112,17,0,1,0,0
-2.2536152,53.4393553,4248305749307545318,,154200,951113147,36,1,0,0,0
-2.2536688,53.4483437,-747376947130797338,,40522,65684423,104,1,0,1,1
-2.2536903,53.4519391,-7272880667368982810,,24344,23707042,89,1,0,0,0
-2.253701,53.4537367,317066603556146918,,18990,14425108,108,0,0,0,1
-2.2537278,53.4582309,4110244484250710758,,10388,4317019,122,1,0,0,0
-2.2520087,53.4222805,8139133447504603878,,885768,1318677353,3,1,0,0,0
-2.2521951,53.4537399,-3385240009549856026,,24113,23258023,44,0,0,1,0
-2.2522271,53.459133,-8060148060215461146,,11789,5559508,70,0,0,1,0
-2.2506469,53.4465524,-3533413894884602138,,80887,261709964,30,1,0,0,0
-2.2506575,53.4483501,360096994605882086,,63074,159134179,120,0,1,1,0
-2.2507529,53.4645292,3087230189187089126,,7534,2270924,40,0,0,1,0
-2.2508006,53.4726187,-7157863874328960282,,2793,312155,256,0,1,0,0
-2.2488942,53.4043099,-3521441847075571994,,270,2921,137,0,0,1,0
-2.248994,53.421388,-6940811053869699354,,591844,1126275427,152,9,11,9,5
-2.2490308,53.4276799,1036313237803250406,,748808,953752827,105,7,6,7,5
-2.2491466,53.4474544,-4839231609984291098,,87044,303070644,119,1,1,3,0
-2.2491887,53.4546451,2592316614829440742,,33483,44846470,88,1,0,0,0
-2.249215,53.4591393,7817097443231928038,,18728,14030265,113,1,1,1,0
-2.2492203,53.4600381,6920988056863402726,,16703,11159848,171,1,0,1,2
-2.2492361,53.4627346,-4383351334428611866,,11889,5654729,227,3,0,0,0
-2.2475102,53.4249865,-5879721582954902810,,679256,1275731053,33,1,1,2,1
-2.2475363,53.4294807,5130503960379421414,,680462,1341311887,126,7,10,7,8
-2.2476148,53.4429633,-4969036807814083866,,185896,1382305311,42,3,0,1,1
-2.2476462,53.4483564,1358016679883317990,,93150,347081429,75,2,2,0,0
-2.2476985,53.4573447,-5069807248749291802,,29247,34217391,84,0,0,1,0
-2.247709,53.4591424,7549888860629624550,,23295,21706650,109,0,0,1,0
-2.2459482,53.4151023,-2150724162158343450,,66233,175476561,66,0,0,2,0
-2.2460157,53.4267873,7716747286468479718,,650037,2147483647,128,10,8,7,7
-2.2460417,53.4312815,1997942342664534758,,619975,2147483647,65,3,8,3,6
-2.2444798,53.4213973,-7217704855145568538,,310757,2147483647,29,2,0,0,0
-2.2445573,53.4348799,-2064972890530953498,,510969,1853664399,99,6,5,5,6
-2.2446296,53.4474637,-8244092857107468570,,145156,842814704,34,0,1,0,0
-2.24464,53.4492614,5993356082873632486,,117120,548691342,41,0,1,0,1
-2.244759,53.4699347,264442132395901670,,9553,3650570,114,0,0,0,1
-2.2429751,53.4214004,-2474266004321519898,,245961,2147483647,42,2,1,0,2
-2.2430213,53.42949,1778553058410231526,,578317,493135928,10,1,1,0,0
-2.2430264,53.4303888,-4977873238698836250,,584301,771427052,44,2,1,2,5
-2.2431703,53.4555564,5071148158388771558,,65188,169981776,228,1,0,3,1
-2.2432731,53.4735331,2143976240054480614,,7698,2370368,580,0,0,0,2
-2.2414653,53.4205046,6213440935825530598,,155789,970812042,86,2,2,0,1
-2.2414908,53.4249988,2795960880575520486,,366944,1090951367,144,6,3,3,5
-2.2415214,53.4303919,-8432587653027130650,,543337,2147483647,48,3,3,3,4
-2.2415469,53.4348861,-3538754440209109274,,520248,2147483647,100,5,5,5,6
-2.241552,53.4357849,-6125740427307002138,,501190,1457748670,76,3,5,2,7
-2.2415877,53.4420768,5293297356943758054,,323366,2147483647,80,0,7,5,2
-2.2416082,53.4456722,1086229531972190950,,229615,2108938577,77,2,1,1,1
-2.2416133,53.446571,-8417502553363109146,,209426,1754378605,96,0,1,2,2
-2.2416541,53.4537617,1931030205438616294,,94981,360859789,182,0,3,1,3
-2.241695,53.4609525,3070521702022918886,,41235,68014076,19,0,0,1,0
-2.2417052,53.4627501,-1205675040488135962,,33414,44661467,47,1,0,0,0
-2.2417103,53.463649,1161034493514112742,,30078,36187689,191,0,0,2,0
-2.2417615,53.4726373,-2941069330955527450,,10512,4420357,198,0,0,1,0
-2.2399302,53.4151146,-3726689387908246810,,18547,13760562,56,0,0,0,1
-2.2399556,53.4196088,-8247584819079298330,,93473,349488884,34,0,0,0,1
-2.2399758,53.4232042,-4598569392153701658,,224377,2013816963,54,2,1,2,2
-2.2400367,53.4339903,-7794109970716497178,,519951,2147483647,80,6,8,7,2
-2.2400468,53.435788,3931137325247333094,,499530,1391292228,97,3,4,3,4
-2.2400823,53.4420799,1769312763793713894,,347250,528344449,88,3,4,4,0
-2.2401127,53.4474729,-4075745423687111962,,214099,1833542774,96,3,1,3,0
-2.240128,53.4501694,-4326530161537607962,,162668,1058436387,108,4,2,0,1
-2.2402092,53.4645508,9117812188546505446,,32598,42505242,16,1,0,0,0
-2.2384509,53.4196118,-1098098545308658970,,71352,203647981,60,1,0,1,0
-2.238461,53.4214095,1198586188350393062,,118288,559686021,37,2,0,1,0
-2.238471,53.4232072,-1742205254388824346,,179823,1293453042,92,1,0,0,0
-2.2384811,53.4250049,3009794508448603878,,251780,2147483647,110,2,4,2,3
-2.2384962,53.4277014,5930788154385855206,,362274,954742474,119,2,5,4,2
-2.2385113,53.4303979,8190253378739534566,,449575,2147483647,99,4,4,3,5
-2.2385365,53.4348921,-6063317493100775706,,496044,1252476164,110,3,6,3,3
-2.2385516,53.4375887,3509024695818078950,,466889,129484864,88,0,3,3,6
-2.2386172,53.4492736,3602411090962543334,,200397,1606364899,162,1,5,4,6
-2.2386474,53.4546666,8099528676304256742,,115678,535263619,117,1,2,2,2
-2.2386727,53.4591608,9062117015811733222,,71053,201943360,33,0,1,0,0
-2.2369262,53.4160194,-1619478356097320218,,14851,8823013,69,0,1,0,1
-2.2369713,53.424109,-8540306758654236954,,173675,1206523323,51,0,0,1,1
-2.2370213,53.4330975,-9112110573945194778,,459029,2147483647,75,2,3,4,3
-2.2371165,53.4501754,446068822690904806,,204672,1675637577,124,2,2,3,1
-2.2371315,53.452872,-7200314542101297434,,158255,1001796279,153,2,3,4,5
-2.2371416,53.4546696,7782874499567438566,,132249,699598135,152,3,1,1,4
-2.2371516,53.4564673,-2327882606240945434,,109966,483704366,111,2,0,3,0
-2.2354515,53.4214155,-1070523536778915098,,71760,205983643,38,0,0,1,0
-2.2354814,53.4268085,6902711099849457382,,229962,2115318951,73,0,2,2,1
-2.2355112,53.4322016,-1403252005928681754,,402899,2147483647,79,2,1,4,2
-2.2355361,53.4366958,3887636220315790054,,454210,2147483647,84,4,6,5,4
-2.2355709,53.4429877,1236613966956886758,,376862,1386032076,98,1,8,5,2
-2.2356058,53.4492796,-1588046711150247194,,243191,2147483647,187,7,2,6,2
-2.2356556,53.458268,8756931848042127078,,104722,438671055,104,2,1,1,0
-2.2356656,53.4600657,-720865710858229018,,87061,303189616,141,1,2,0,1
-2.2356755,53.4618633,6088846624560593638,,72147,208211902,6,0,0,1,0
-2.2358002,53.4843343,4349227678980715238,,5889,1387410,142,0,0,1,0
-2.234016,53.4340022,6738723793976690406,,401344,2147483647,91,3,0,1,4
-2.2340605,53.4420918,-3933303127479475482,,400583,2123720424,105,1,3,4,2
-2.2340902,53.4474849,-6591207244879713562,,299412,2147483647,108,3,6,7,2
-2.2341149,53.4519791,7425251102689444582,,212062,1798825474,155,3,3,2,3
-2.2341397,53.4564733,-7111100781040061722,,141699,803148061,238,3,5,4,1
-2.2324716,53.4268144,-3762552657060378906,,157702,994799746,80,1,2,3,2
-2.2324814,53.4286121,6563400240211241702,,211898,1796033338,121,4,0,0,0
-2.2325059,53.4331063,8459864537101176550,,344288,446403573,60,1,5,3,3
-2.2325108,53.4340052,7456298134039442150,,365123,1037643700,133,1,8,3,5
-2.2325305,53.4376005,-7605122208089007386,,415316,2147483647,99,3,3,5,3
-2.2325551,53.4420948,-8226178003685262618,,401774,2147483647,108,4,3,1,3
-2.232614,53.4528809,-1235858856937512218,,215205,1852541507,208,2,4,6,6
-2.2326632,53.4618692,2459985931257277158,,95376,363863750,122,1,0,2,1
-2.2327174,53.4717565,-5827861275037247770,,34533,47702977,171,0,0,0,2
-2.2309471,53.423222,5611432695519511270,,56747,128810509,116,0,2,0,1
-2.230952,53.4241208,-1491080636335442202,,71522,204618227,117,0,0,0,2
-2.2310398,53.4403,-2682978765406273818,,404577,2147483647,70,5,3,1,1
-2.2310691,53.4456931,-5020996556818351386,,357978,830972050,60,3,1,0,1
-2.2310984,53.4510861,5698718543070881510,,265100,2147483647,249,8,10,4,6
-2.2311131,53.4537826,3736304214627386086,,217999,1900959736,292,6,5,4,3
-2.2294569,53.4259214,6879190458866562790,,87712,307740191,54,0,1,0,0
-2.2294617,53.4268203,1990722308189258470,,106224,451341744,52,0,1,1,0
-2.2294666,53.4277191,-6710605221209262362,,126685,641972739,63,1,0,1,1
-2.2295587,53.4447971,2257467555694027494,,373048,1271638091,72,5,3,2,6
-2.2296072,53.4537855,6363980927387366,,235227,2147483647,154,4,2,3,6
-2.2296218,53.456482,4057073676603672294,,192244,1478324565,105,1,1,2,2
-2.2297044,53.4717623,-6452880200401675546,,46891,87951433,101,0,1,1,1
-2.2297773,53.4852449,1220674658103981798,,10994,4835600,135,0,1,0,0
-2.227952,53.4259243,-4701927272354987290,,71040,201872368,50,1,0,0,0
-2.2279857,53.4322162,-55595343017328922,,213669,1826179759,112,4,5,2,1
-2.2279954,53.4340139,-2996318998341358874,,259962,2147483647,118,4,4,3,6
-2.2281062,53.4546873,-796326629284414746,,236812,2147483647,149,1,1,5,2
-2.2264232,53.4214329,5989834221797112550,,16312,10643995,51,0,1,0,0
-2.2264567,53.4277248,1118240134374290150,,85854,294838792,79,2,2,1,1
-2.2264806,53.4322191,-5101957539452930330,,184077,1355387726,107,3,1,2,1
-2.226495,53.4349156,-184485227483581722,,250210,2147483647,150,3,7,5,2
-2.2264998,53.4358144,2868797294355839718,,271005,2147483647,175,7,6,6,6
-2.2265237,53.4403087,1258668625276788454,,348632,566825985,129,4,2,4,3
-2.2265285,53.4412075,-7094238163107420442,,357164,807678483,46,2,1,1,0
-2.2266147,53.4573866,-1120175283261031706,,210991,1780695108,83,0,0,1,2
